id,summary
250366726,가학리 주민들 호소문 통해 입장 전달 “텅텅 빈 산업단지 두고 왜 민가 근처에…”임아연 zelkova87@hanmail.net
251994086,10대 때부터 써온 한시 “옛 것 사라지는 것 아쉬워”김예나 yena0808@hanmail.net
252639804,당진서 군복무하며 인연 맺어 “당진시대는 훌륭한 지역의 소식통”이영민 erfgp92@naver.com
252639915,진옥성결교회김예나 yena0808@hanmail.net
253427793,"이달 중 청년정책네트워크 구성해 본격 논의 면접 서비스, 청년 사회적기업 창업 지원 “일회적 행사 뿐만 아니라 청년 자립 도와야”임아연 zelkova87@hanmail.net"
254232969,커피 전문점 커피스트릿이 지난달 9일 행정동에 새롭게 문 열었다.이영민 erfgp92@naver.com
254232993,당진시배구협회김예나 yena0808@hanmail.net
259992066,대한민국 공군전우회 충남서부지회임아연 zelkova87@hanmail.net
261494514,요리·마사지 배워 독거노인 위해 봉사 “우강·순성 등 지역 확대해 나갈 것”임아연 zelkova87@hanmail.net
261643857,플라시보는 라틴어로 ‘마음에 들다’라는 뜻이다.당진시대 webmaster@djtimes.co.kr
262976010,"김홍장 시장, 에너지정책 전환 토론회 참여 “정부의 당진에코파워 승인은 성급한 결정”임아연 zelkova87@hanmail.net"
263928421,2018년도 정부예산 확보 추진상황 보고회 “당진시 현안 사업 국비 반영 위해 적극 대임아연 zelkova87@hanmail.net
264452720,제14회 장고항 실치축제 개최한수미 d911112@naver.com
265167516,늦깎이 대학생…시·수필 즐겨이영민 erfgp92@naver.com
265205906,오리요리 전문점 작은부엌이 지난 6일 송산면 가곡리에 자리했다.이영민 erfgp92@naver.com
266137696,조선시대 읍성 축조기법의 전이영민 erfgp92@naver.com
268446777,재작년까지 소외계층 차량 수리 도와한수미 d911112@naver.com
269125649,제23회 충남장애인체육대회서 ‘당진’ 종합우승김예나 yena0808@hanmail.net
269872879,당진항만관광공사김예나 yena0808@hanmail.net
269872884,준비위원장에 우혜숙 교수김예나 yena0808@hanmail.net
272214660,발기인 창립총회 개최당진시대 webmaster@djtimes.co.kr
273741382,2017 전국 지자체 일자리 대상 ‘우수상’임아연 zelkova87@hanmail.net
273741395,글사랑 캘리그라피 전문봉사단당진시대 webmaster@djtimes.co.kr
277551544,심근경색·동맥경화 등 심혈관계 질환에 탁월임아연 zelkova87@hanmail.net
279052943,김지철 교육감 특강 실시한수미 d911112@naver.com
279940950,제13회 삽교호조개구이축제 개최임아연 zelkova87@hanmail.net
280555659,대한노인회 당진시지회 ‘노인의날’ 기념식한수미 d911112@naver.com
282296616,학부모 인식 개선 및 주차 공간 확보해야한수미 d911112@naver.com
284105074,형형색색의 아름다운 국화를 한 눈에 볼 수 있는 국화전시회가 당진시농업기술센터에서 열렸다.김예나 yena0808@hanmail.net
284709117,심상찬·조상연 “출마하겠다”한수미 d911112@naver.com
286744278,고대면주민자치센터 요가반 “건강해서 즐겁고 화목해서 행복하다!”한수미 d911112@naver.com
287062791,"바둑교실·영어교실,·영화감상 등 문화·교육 프로그램당진시대 webmaster@djtimes.co.kr"
287062797,“활동 위해선 가족 도움 필요”한수미 d911112@naver.com
287166655,일본은 지진의 나라다.당진시대 webmaster@djtimes.co.kr
289331624,당진산악회김예나 yena0808@hanmail.net
290178281,“면천이 더 아름다워지길”김예나 yena0808@hanmail.net
290741800,"일방적인 시내버스 감차, 시민들 분노A씨는“적자운행이 계속 돼서 회사가 어려워지는 것을 시민들이 뭐라 할 수는 없지만 변경이 불가피 했다면 시행 불과 며칠 전에 임박해서 일방적으로 공지만 한 것은 잘못됐다”며“노선변경과 시간변경에 관련된 안내문이나 공지문을 반상회를 통해 가정으로 전달하거나 아파트 게시판이나 버스정류장에 붙여 두었다면 혼란과 불편은 덜했을 것이다”고 말했다."
290741856,수도권 소재 2년제 이상 대학교 신입생·재학생·대학원생…부모가 1년 이상 광양거주 조건문의 교육청소년과 797-1954
292290053,"스쿨 존 확대, 적정지점‘횡단보도’설치 절실앞도 뒤도 확인하지 않고 튀어나오는 경우가 많다”면서“아이들은 운전자들에게는 폭탄과도 같아 대책이 시급하다”고 말했다."
293900916,"박방영 화백 초빙, 작가와의 만남 개최박경미 pkm9407@naver.com"
296785658,"장애인복지관, 방과후아카데미 토요체험참가를 희망하는 학생은 광양시장애인종합복지관 청소년방과후아카데미(761-4438)로 문의하면 된다."
296806842,송악읍 한진풍어당제 “향토유적 지정 위해 노력”김예나 yena0808@hanmail.net
297440295,아카데미 개설 등 새로운 변화 맞아박경미 pkm9407@naver.com
299148152,"23일 기공식, 어린이?순천시는 그동안 각종 행정절차를 이행하고, 토지매입을 거쳐, 건축과 전시체험 콘텐츠를 어린이와 청소년들의 미래직업과 4차 산업혁명 관련 기술을 학습하고 체험할 수 있는 공간으로 건립 중에 있다."
299818040,송악읍 기지시리 갑사가든박경미 pkm9407@naver.com
300619723,갤러리카페 아미띠에서 오는 22일까지김예나 yena0808@hanmail.net
300752415,"이용재 도의원, 지방대학 육성방안 요구결국 사육환경 개선, 면역력 강화, 체계적인 예방, 신속한 방역이 동시에 이뤄져야 가축전염병으로부터 청정한 전남, 살고 싶은 전남이 실현될 것이다”고 주장했다"
301415872,직접 꽃을 수확하는 체험 프로그램 실시김예나 yena0808@hanmail.net
304038198,"수공예 동아리 소느로, 천연염색 특강 개최박경미 pkm9407@naver.com"
304479382,"활어차 보유, 인근 포구서 해산물 공수한수미 d911112@naver.com"
306133207,이성훈 sinawi@hanmail.net한편 후보자에 대한 자세한 경력과 공약은 선관위에서 보내는 공보물을 통해 볼 수 있으며 중앙선관위 홈페이지에 들어가면 후보자에 대한 기본적인 경력을 알 수 있다.
307524876,"민주당 대거 지원, 추미애·정세균·박영선 등 방문다른 것은 필요 없다”며 거듭 지지를 호소했다."
307524911,"박형배 신임 광양상공회의소 사무국장박형배 사무국장은 고려대학교 사회학과 졸업했으며 전남시민단체연대회의 상임대표, 광양상공회의소설립추진 운동본부 공동대표, 광양항살리기 시민운동본부 상임대표 등을 역임했다."
307550291,2018 상록묵향회 행복한 동행박경미 pkm9407@naver.com
309012847,유성근 대표·김은주 센터장박경미 pkm9407@naver.com
309915965,"12~13일 접수, 한국화?광양시 홈페이지 공고란을 보면 자세히 알 수 있다."
310587820,이시은 대표안라영 cobel5352@naver.com
311474682,"道,임대구역 일부 교통영향평가‘보완 지시’ 올해까지 4년간 착공 연기만‘벌써 4번째’ 공사진행 지켜보는 주민들 불신 점점 커져한 주민은“부영주택의 공사의지가 있는지 의심된다”며“광양시가 부영주택을 더 압박하던지 부영주택에 공사의지가 있는지에 대한 명확한 답을 받아 주민들에게 정확한 착공계획을 공개해야 할 것”이라고 꼬집었다."
312338884,대덕동 장수네 민물장어 초벌구이 전문점안라영 cobel5352@naver.com
313016481,목표 100세대 중 74% 지원 완료…문의 잇달아shado262@naver.com
314752491,"읍내1~12통, 수청1·2통 소속김예나 yena0808@hanmail.net"
315222570,"광양지역 리콜대상, 235대 중 210대 점검 완료‘25대 예정’대상 차량의 주된 화재원인으로는 배기가스재순환장치(EGR) 결함이 꼽히고 있으며 올해 BMW 차량에서 발생한 화재 건수는 40여건, 이중 광양 지역 내 피해는 아직까지 없는 것으로 확인됐다."
315718127,"지난 14일까지 독일, 오스트리아, 체코 등 3개국 방문특히 2013년과 2017년에는 제주에서 열린 국제 U-13관악경연대회에서 최고상을 받기도 했다."
316841450,김호 기자 giant1kim@hanmail.net김호 기자 / ho-kim@gynet.co.kr
318342444,"市, 4차산업혁명 기업지원 발굴 설명회 개최한편 광양시는 이달 중 4차산업혁명에 선도적으로 대응할 수 있는 기업을 발굴하고 육성하기 위한 기업지원 수요조사를 실시할 예정이다."
320147295,"메밀과 우동, 만두만을 전문으로 하는 구만 모밀·우동·만두 전문점이 대덕동에 문 열었다.박경미 pkm9407@naver.com"
320837218,"지역 청소년범죄 집계, 지난해 193건…‘올해 98건’이정교 기자"
320837232,‘시민 행복!김호 기자
324884401,새로운 기술 습득 등 실시김예나 yena0808@hanmail.net
325956089,35년 전 아무것도 없던 곳에 식당 차려한수미 d911112@naver.com
327563440,김상수신헌호 기자 shh24@idaegu.com
327710168,13일 오후 2시 대구FC 엔젤클럽 회원들이 포레스트 아레나를 방문했다.신헌호 기자 shh24@idaegu.com
327950812,"소품위주 전시에서 벗어나, 대작 전시 통해 회원들의 역량 과시광양문화예술회관 제1,2전시실에서 열린 2018년 광양미협 특별정기전은 한국화, 서양화, 서예 등 회원들의 작품 60여작이 전시됐다."
328618230,2020년 총선 앞두고 당권 경쟁임아연 zelkova87@hanmail.net
328739166,우수의원으로 이종윤·조상연·최연숙 의원 “문화관광과·지역경제과 명확한 답변 좋았다”임아연 zelkova87@hanmail.net
329458873,김원용황금돼지의 해를 맞아 도민 모두가'행복'이라는 황금을 거머쥐길 바란다.
329458884,"""도시화·산업화·경제화로 중부내륙 신산업도시 조성""조길형 시장은 ""초심을 잃지 않고 오직 시민을 위해서라면 어떠한 어려움도 피하지 않고 정진하겠다""며 ""기해년 새해에도 시민여러분의 변함없는 성원과 협조를 부탁드린다""고 말했다."
329458973,"""지역경제 회복… 더 잘사는 도시로""끝으로, 희망찬 2019년 새해를 맞아 소망하시는 모든 일들 크게 성취하시고 군민 여러분의 가정에 사랑과 행복이 가득한 축복의 한해가 되시기를 다시 한 번 진심으로 기원합니다."
329469636,"[서울경제] 자녀의 졸업과 새학기 대비를 앞두고 예비초등 및 초등학생 자녀를 둔 학부모들이 자녀의 교육 문제 고민으로 골머리를 앓고 있다.이처럼 사교육보다 저렴한 비용으로 학습 관리 선생님부터 전 학년, 전 과목 인강을 모두 이용할 수 있어 많은 학부모들이 사교육을 대체할 자녀의 교육 시스템으로 천재교육 밀크티를 선호하고 있다."
329473722,"2019년 1월 1일 저작권 징수규정 개정안이 적용되면서 국내 음악 서비스사들은 스트리밍 서비스 시 창작자에게 65%, 다운로드 시 70%를 창작자에게 수익을 배분해야 한다.지니뮤직은 6개월간 39% 할인 프로모션도 진행해 정기 결제자들이 최장기간 할인을 받으며 음악감상을 할 수 있도록 했다."
